UE ID,Internet usage,Data rate,optimal GU
1,2592.2596961540003,277.7421103022143,848.5161627577809
2,3136.087021907,336.00932377575,1026.525440275533
3,2753.688978069,295.0381047931071,901.3562987404845
4,2957.9194759049997,316.91994384696426,968.206421279912
5,2590.8053899929996,277.5862917849642,848.0401293244647
6,2666.887348836,285.73793023242854,872.9437961400764
7,2872.551133831,307.7733357676071,940.2630720294128
8,2462.360916054,263.8243838629285,805.9968061513041
9,2597.462312204,278.29953345042856,850.2191186049891
10,2602.389768823,278.8274752310357,851.8320073864304
11,2677.014370283,286.8229682446071,876.258642021885
12,2418.0736016929995,259.07931446710705,791.5003796951905
13,2771.071741328,296.9005437137143,907.0461436277607
14,2730.3804539139996,292.54076291935706,893.7267932920563
15,2621.6555713580005,280.89166835978574,858.138221560767
16,2599.629052238,278.5316841683571,850.9283507633531
17,2622.3917433919996,280.97054393485706,858.3791904229321
18,2788.534323045,298.7715346119642,912.7621152382966
19,2777.5965356459997,297.5996288192142,909.1818839032071
20,2607.895223837,279.4173454111071,853.6340905533467
