UE ID,Internet usage,Data rate,optimal GU
1,2592.2596961540003,169.73128962913097,663.3155970439996
2,3136.087021907,205.33903119629164,802.4718504880072
3,2753.688978069,180.30106404023212,704.622631471414
4,2957.9194759049997,193.67329901758924,756.8817761889236
5,2590.8053899929996,169.6360672019226,662.9434645910281
6,2666.887348836,174.61762403092857,682.4115564759177
7,2872.551133831,188.08370519131546,735.0374552377917
8,2462.360916054,161.22601236067857,630.0766869899045
9,2597.462312204,170.07193710859525,664.6468588680045
10,2602.389768823,170.39456819674405,665.9077120278903
11,2677.014370283,175.28070281614882,685.0028907034877
12,2418.0736016929995,158.32624772989877,618.7443091380917
13,2771.071741328,181.43922115838095,709.0705878264524
14,2730.3804539139996,178.77491067294045,698.6583727055863
15,2621.6555713580005,171.6560195532024,670.8375064192453
16,2599.629052238,170.2138069917738,665.2012911501652
17,2622.3917433919996,171.70422129352377,671.0258804440329
18,2788.534323045,182.58260448508926,713.5389683805793
19,2777.5965356459997,181.86643983396425,710.7401728009264
20,2607.895223837,170.7550444178988,667.3164652423264
