UE ID,Internet usage,Data rate,optimal GU
1,2592.2596961540003,262.3119930632024,824.6094878398909
2,3136.087021907,317.3421391215416,997.6034101802541
3,2753.688978069,278.64709897126784,875.9608696785958
4,2957.9194759049997,299.3132802999107,940.9275111272483
5,2590.8053899929996,262.164831130244,824.1468664982235
6,2666.887348836,269.8636007750714,848.3488803660714
7,2872.551133831,290.67481711385113,913.7714569171613
8,2462.360916054,249.16747364832142,783.2881006778679
9,2597.462312204,262.8384482587381,826.2644634439105
10,2602.389768823,263.3370599404226,827.8319095932972
11,2677.014370283,270.8883588976845,851.5703315120132
12,2418.0736016929995,244.68601921893446,769.2001064590744
13,2771.071741328,280.4060690629524,881.4904049830689
14,2730.3804539139996,276.2884983127261,868.5463231367216
15,2621.6555713580005,265.286575673131,833.9604481748219
16,2599.629052238,263.0577017145595,826.9537132101934
17,2622.3917433919996,265.36106927180947,834.194627815395
18,2788.534323045,282.1731160224107,887.045330898625
19,2777.5965356459997,281.0663161070357,883.5659714507377
20,2607.895223837,263.8941595549345,829.583219636097
