UE ID,Internet usage,Data rate,optimal GU
1,2592.2596961540003,324.03246201925003,916.5022048735365
2,3136.087021907,392.010877738375,1108.7741997907822
3,2753.688978069,344.211122258625,973.576074835622
4,2957.9194759049997,369.73993448812496,1045.782459808092
5,2590.8053899929996,323.85067374912495,915.988029999354
6,2666.887348836,333.3609186045,942.8870645112746
7,2872.551133831,359.068891728875,1015.6001930185029
8,2462.360916054,307.79511450675,870.5760507352512
9,2597.462312204,324.6827890255,918.3416074179689
10,2602.389768823,325.298721102875,920.0837264126175
11,2677.014370283,334.626796285375,946.4675072804723
12,2418.0736016929995,302.25920021162494,854.9181205826493
13,2771.071741328,346.383967666,979.7218097237215
14,2730.3804539139996,341.29755673924996,965.3352670908964
15,2621.6555713580005,327.70694641975007,926.8952162213675
16,2599.629052238,324.95363152975,919.1076657035237
17,2622.3917433919996,327.79896792399995,927.1554923400478
18,2788.534323045,348.566790380625,985.8957646982791
19,2777.5965356459997,347.19956695574996,982.0286728777742
20,2607.895223837,325.986902979625,922.0301986995759
