UE ID,Internet usage,Data rate,optimal GU
1,2592.2596961540003,123.44093791209525,565.6774418385206
2,3136.087021907,149.33747723366665,684.3502935170219
3,2753.688978069,131.1280465747143,600.9041991603231
4,2957.9194759049997,140.85330837642854,645.4709475199413
5,2590.8053899929996,123.37168523776188,565.3600862163098
6,2666.887348836,126.99463565885715,581.962530760051
7,2872.551133831,136.78814923004762,626.8420480196086
8,2462.360916054,117.25528171685714,537.3312041008694
9,2597.462312204,123.68868153352382,566.8127457366595
10,2602.389768823,123.92332232490476,567.888004924287
11,2677.014370283,127.47687477538095,584.17242801459
12,2418.0736016929995,115.14636198538093,527.6669197967938
13,2771.071741328,131.95579720609524,604.6974290851738
14,2730.3804539139996,130.01811685304762,595.8178621947043
15,2621.6555713580005,124.84074149323813,572.092147707178
16,2599.629052238,123.79185963038096,567.2855671755688
17,2622.3917433919996,124.87579730438094,572.252793615288
18,2788.534323045,132.78734871642857,608.5080768255311
19,2777.5965356459997,132.26650169742857,606.1212559354715
20,2607.895223837,124.18548684938094,569.0893937022312
